D8m6580	D8m6581	D8m6582	D8m6583	D8m6584	D8m6585	D8m6586	D8m6587	D8m6588	D8m6589	D8m6590	D8m6591	D8m6592	D8m6593	D8m6594	D8m6595	D8m6596	D8m6597	D8m6598	D8m6599	D8m6600	D8m6601	D8m6602	D8m6603	D8m6604	D8m6605	D8m6606	D8m6607	D8m6608	D8m6609	D8m6610	D8m6611	D8m6612	D8m6613	D8m6614	D8m6615	D8m6616	D8m6617	D8m6618	D8m6619	D8m6620	D8m6621	D8m6622	D8m6623	D8m6624	D8m6625	D8m6626	D8m6627	D8m6628	D8m6629	D8m6630	D8m6631	D8m6632	D8m6633	D8m6634	D8m6635	D8m6636	D8m6637	D8m6638	D8m6639	D8m6640	D8m6641	D8m6642	D8m6643	D8m6644	D8m6645	D8m6646	D8m6647	D8m6648	D8m6649	D8m6650	D8m6651	D8m6652	D8m6653	D8m6654	D8m6655	D8m6656	D8m6657	D8m6658	D8m6659	D8m6660	D8m6661	D8m6662	D8m6663	D8m6664	D8m6665	D8m6666	D8m6667	D8m6668	D8m6669	D8m6670	D8m6671	D8m6672	D8m6673	D8m6674	D8m6675	D8m6676	D8m6677	D8m6678
D8m6580	0.0	0.321417827633	0.294436937168	0.45263544193	0.430493328354	0.496802157296	0.437855645171	0.52690202436	0.523051225335	0.631520142345	0.615071288681	0.576557643432	0.551141158767	0.456205614657	0.488047892488	0.464377465064	0.426052827765	0.589653406513	0.594126132854	0.566200189673	0.624045452325	0.52372916329	0.490833551378	0.480649793004	0.488279049138	0.552550687863	0.601577528809	0.529032205945	0.540395098803	0.478793297798	0.587350986649	0.540670194647	0.472261908921	0.511227452671	0.480651233477	0.455915146249	0.550750365468	0.566911761361	0.399082689044	0.429962127241	0.425984326157	0.477933693772	0.614441293667	0.517733573231	0.593300189958	0.492791753958	0.573081473047	0.418049727742	0.44870284499	0.533724044128	0.433466402432	0.439714046912	0.579543491072	0.600198767781	0.308674887177	0.26899866839	0.457471303511	0.44625846013	0.478605542327	0.488004131588	0.613310643262	0.603441803377	0.570851672178	0.553174315012	0.463464077624	0.605780557459	0.597530606069	0.421513277327	0.390636576792	0.600638229779	0.602590486058	0.501050359472	0.461524747844	0.494439628149	0.496008343194	0.453465808331	0.43136353919	0.49529340747	0.458657762242	0.338851825052	0.357711539053	0.542200749309	0.539237312906	0.549150723515	0.536029416418	0.576033646772	0.562466930265	0.611828111478	0.61193753283	0.456526991611	0.476079620624	0.564199751782	0.536855292378	0.431388730903	0.415760690523	0.534274024311	0.532165499053	0.425160965404	0.415289064877
D8m6581	0.321417827633	0.0	0.419758252744	0.526143971764	0.524646572216	0.459790203667	0.472872697879	0.452012890831	0.463371773693	0.588668259297	0.523504162266	0.502489950594	0.493824368076	0.462564936511	0.489414138423	0.445710936331	0.449542961536	0.545340979772	0.541828194228	0.511976658203	0.579985903152	0.481883409091	0.499054779138	0.498793077382	0.513029711493	0.553449895135	0.598788816294	0.53988654757	0.553971880451	0.506204910306	0.564593589527	0.571720447788	0.44306693729	0.477216716815	0.451616368419	0.442852569136	0.492038030694	0.504435370455	0.474424290867	0.503778637796	0.428052904674	0.426794098723	0.529598592678	0.509349703778	0.519787768815	0.465382945743	0.494717400575	0.413181268401	0.441250434734	0.505800174398	0.495699347769	0.51844958436	0.540498988706	0.549260588973	0.370535403657	0.368207781754	0.495689672469	0.465972490569	0.433831833451	0.448149732435	0.551275599679	0.557450672703	0.502560349189	0.473665922617	0.451321899895	0.559985725017	0.53684119345	0.398201871584	0.376297968968	0.553356912815	0.547183126865	0.456623712356	0.45373163439	0.506688955955	0.49555820642	0.482837333853	0.412689500758	0.4898573047	0.494770433768	0.383996530427	0.334647502457	0.467621917117	0.472332702847	0.507477475532	0.50136256451	0.523611279558	0.512128004596	0.548761393712	0.544525375214	0.408858330288	0.421161628779	0.501346593388	0.538280481214	0.490080264214	0.510609048164	0.478200719461	0.499278636994	0.451071636839	0.44079011737
D8m6582	0.294436937168	0.419758252744	0.0	0.49235822899	0.441476803946	0.567637986666	0.490106579815	0.613589399715	0.612600271581	0.771229340712	0.762710226765	0.727404381136	0.72077534873	0.552762245252	0.564030449624	0.479153107607	0.444865294448	0.75021818713	0.753629540338	0.73978943228	0.7609667779	0.624227178659	0.579361397965	0.627141817352	0.625963541212	0.652707492808	0.68375021787	0.592699815774	0.630868805372	0.565033302039	0.72586238121	0.638557553191	0.582516193289	0.655858551813	0.592372903681	0.59875909443	0.689624103258	0.705188975302	0.396664225205	0.399727489903	0.470496399474	0.544269019875	0.753549872748	0.652726277652	0.746728878758	0.561491692335	0.722399570161	0.489445655842	0.498482826449	0.691330446231	0.516963929311	0.528494683222	0.738112306032	0.747669981686	0.356256512111	0.344776710327	0.491254680894	0.516655875465	0.554022549385	0.557618891148	0.76488913348	0.761042479059	0.71544990858	0.710917018163	0.535616612407	0.752549668817	0.754363663402	0.530623121016	0.474880718354	0.751669982997	0.754158119954	0.656834420324	0.605856532124	0.621737437304	0.625869663803	0.574277787553	0.563793914775	0.630786780782	0.577544678671	0.375499946094	0.437045776882	0.692053770424	0.687302840666	0.715773388055	0.690825013207	0.734581996911	0.71971748306	0.756717457969	0.764814603678	0.577034414788	0.57256221915	0.713639474514	0.656707174952	0.49676756952	0.462406499709	0.672969639002	0.676332449974	0.449164156294	0.44761097609
D8m6583	0.45263544193	0.526143971764	0.49235822899	0.0	0.252377894731	0.559240454807	0.530588388647	0.582323849803	0.589507582457	0.678891638319	0.667323833282	0.610312599358	0.589568423156	0.479545863825	0.510720753598	0.569921856965	0.52354034422	0.638191582319	0.635247160399	0.62042677163	0.663363303809	0.569115006925	0.49840760835	0.460528272821	0.446420791482	0.51256950798	0.540259842166	0.495475125651	0.482887044377	0.468179031394	0.61898192901	0.524686203576	0.539429753985	0.573036116311	0.49412342652	0.467078115948	0.579723397985	0.596668358873	0.372178896165	0.411852022893	0.447609660839	0.506510076159	0.655785502163	0.492089614348	0.631582504188	0.509736880746	0.626819746316	0.510233338254	0.541071217068	0.55632112893	0.430481913662	0.424758616224	0.615773820999	0.632736083396	0.478930150637	0.463009473002	0.56077268722	0.530936852679	0.553877878008	0.553873265064	0.663973679694	0.648125614194	0.625198646966	0.612023623197	0.501262450177	0.643357323792	0.64136777796	0.460594124898	0.466038903518	0.636305412512	0.646888365018	0.541423954582	0.510663389268	0.467466502841	0.473582574844	0.458284529799	0.478314428426	0.49429869648	0.466575009257	0.431096687518	0.49798751596	0.605372467418	0.595667357743	0.594587949548	0.563307402057	0.61287848584	0.596207744704	0.664127360843	0.664510409896	0.482848403518	0.519840784494	0.610110714221	0.554072904185	0.429509280766	0.41788429094	0.606807026216	0.59679130671	0.512003010073	0.503338136157
D8m6584	0.430493328354	0.524646572216	0.441476803946	0.252377894731	0.0	0.563614686623	0.52742055694	0.592871412656	0.594966505625	0.709329713555	0.715563697583	0.650022095084	0.631162877424	0.507030903928	0.516367198074	0.551312742221	0.50112869515	0.66873400831	0.678367265183	0.666979859737	0.699502106842	0.594331073149	0.531016732555	0.504293023794	0.484882075376	0.536448894611	0.573588246382	0.505307919107	0.518755341748	0.466715842104	0.649820794032	0.548482986983	0.559011679618	0.593851546608	0.51924709614	0.498548835677	0.615509840747	0.64676706558	0.358829218134	0.393598372293	0.458771401041	0.522577598904	0.700555987506	0.529241432459	0.672428186111	0.511061286798	0.661763283065	0.495572697361	0.516595267987	0.600702429593	0.458245978838	0.451999223157	0.643293365683	0.66159867914	0.463614514711	0.445756084018	0.549717828379	0.530494018396	0.547680695111	0.544965930786	0.693209784216	0.681435707631	0.639399408696	0.634376614106	0.509601854585	0.669734750747	0.673225994848	0.483792042112	0.472889284549	0.67999095636	0.686637135891	0.579353088941	0.546122673195	0.499129599636	0.506911636425	0.478809505749	0.510168269151	0.527972021873	0.480340233416	0.409156813061	0.483812368769	0.637818000919	0.626818400842	0.626757341439	0.594484547934	0.647495009689	0.628930210894	0.683859932347	0.690863295795	0.511326617648	0.534822789244	0.632613087333	0.544606161033	0.443016740727	0.419519417524	0.63392522464	0.628526504135	0.494457415366	0.485284383771
D8m6585	0.496802157296	0.459790203667	0.567637986666	0.559240454807	0.563614686623	0.0	0.281332112566	0.376818214935	0.37729181702	0.681943506846	0.599274667812	0.519732626727	0.525818370874	0.375050487339	0.37689870457	0.366201807084	0.364127163887	0.620389948109	0.623701961332	0.601064408661	0.655595831063	0.399696798649	0.397257507967	0.518490333701	0.535567616969	0.513413849326	0.567330617409	0.50580977488	0.529748976309	0.500280809136	0.626894351633	0.601026692131	0.520302760162	0.550509404627	0.437704253919	0.447380678503	0.562606144779	0.568958353867	0.522276087009	0.568450962399	0.480672307432	0.45508704745	0.609370440811	0.537448249773	0.608463239655	0.412504198034	0.516836134931	0.389909371054	0.409182247047	0.556870384332	0.513391001965	0.533085765741	0.642095653469	0.647073076519	0.529463828557	0.523044068786	0.347612026297	0.312460609343	0.360167300537	0.375792203944	0.658528006977	0.658918248365	0.51117020534	0.511340870594	0.363689459535	0.627785779872	0.620892985923	0.439949366798	0.42216983044	0.634422214478	0.63777002304	0.521110220949	0.499392399161	0.540696344723	0.534129003045	0.473345230127	0.443242766729	0.498267622465	0.46230983725	0.46832526346	0.424647233828	0.556882044748	0.551177528235	0.577987634661	0.566979073504	0.613904235311	0.607069684536	0.662608502923	0.655533354803	0.450882609417	0.421881846141	0.555579108382	0.542745175503	0.501382130519	0.530968527986	0.545573459139	0.568008264644	0.359617609684	0.362291985561
D8m6586	0.437855645171	0.472872697879	0.490106579815	0.530588388647	0.52742055694	0.281332112566	0.0	0.429771069898	0.43993125163	0.702238176549	0.655133483459	0.576118582173	0.579463108004	0.38783424153	0.375049478554	0.326184966261	0.305458368773	0.654851139759	0.655301542191	0.643714193026	0.689956749363	0.421234855623	0.375466097996	0.54606291402	0.562517897728	0.546109381068	0.574260126867	0.500310215842	0.54319351094	0.486309906366	0.638399640723	0.575666723471	0.524100721735	0.570103455616	0.464456935269	0.46961990324	0.617769876907	0.620950123245	0.4850485077	0.525653486275	0.474146839972	0.473624779931	0.655826445668	0.568885269923	0.663771906962	0.426197004247	0.59090573455	0.372415223551	0.403198794972	0.606981034187	0.492022449269	0.512724669523	0.675331228791	0.681167662921	0.494504958994	0.478300608003	0.217531397701	0.234494674359	0.397105429436	0.413425970789	0.694389904688	0.690459888013	0.56999570709	0.583260158755	0.367882047312	0.665952717235	0.664831795819	0.446304039974	0.406652454151	0.674548023729	0.678224293652	0.557654928719	0.511778511011	0.558535401773	0.557626825506	0.477197885382	0.473667392205	0.523790591	0.476553831299	0.407822074126	0.399231885984	0.599585154046	0.593002161473	0.604709825969	0.594523148125	0.646052852222	0.631968950401	0.69382192453	0.691193015955	0.4979497199	0.465394072762	0.608029686143	0.56338347829	0.45696177626	0.462839178804	0.585429727737	0.603164696736	0.304034876799	0.309554066145
D8m6587	0.52690202436	0.452012890831	0.613589399715	0.582323849803	0.592871412656	0.376818214935	0.429771069898	0.0	0.173172999592	0.596888400787	0.519118498015	0.476305924886	0.470556934917	0.37145073235	0.387181792312	0.411468818429	0.408127950887	0.561369615733	0.555876209332	0.522630798367	0.591204105325	0.381833777849	0.416091525606	0.505467320871	0.526677730377	0.522617633807	0.563827497225	0.531822843206	0.546503869701	0.532656535575	0.608572830347	0.611237718458	0.520960142495	0.534448770883	0.418744579708	0.452204813133	0.484410706058	0.485094000909	0.563703009156	0.608571712079	0.467467116414	0.407947724383	0.510964357774	0.524625819434	0.545577609216	0.439983985714	0.442675465802	0.407374738324	0.420869207639	0.487272955631	0.534543651634	0.533711527385	0.572871706428	0.568882021646	0.517300593738	0.554106437985	0.474739492553	0.436282475289	0.237379121844	0.231503365469	0.588181433851	0.576443726284	0.477393768287	0.460383732404	0.35988678955	0.552965709488	0.543758996709	0.431857635648	0.439512729226	0.548017372043	0.554728296678	0.493585889183	0.512204927692	0.522505914171	0.514673881581	0.491157304507	0.414159547924	0.486440736266	0.514286692009	0.516597213396	0.473328924387	0.498809894904	0.498477625809	0.538185607747	0.537024762016	0.562062489742	0.552687670827	0.589087276342	0.586031570389	0.442926072708	0.366623223731	0.478738527923	0.546296505763	0.54638017359	0.591303089134	0.535748861324	0.558270118808	0.416526267067	0.418250479081
D8m6588	0.523051225335	0.463371773693	0.612600271581	0.589507582457	0.594966505625	0.37729181702	0.43993125163	0.173172999592	0.0	0.600014342384	0.528953721161	0.485379301664	0.487466150247	0.380497312499	0.406085483031	0.424223691309	0.410399585152	0.568651950917	0.56873884281	0.523251105915	0.584820588604	0.386989326661	0.419587910641	0.514090722267	0.537462593501	0.543631846305	0.586629504172	0.558011358027	0.569313226281	0.552607132912	0.611670703785	0.613426148028	0.538243198741	0.547564698136	0.437719181209	0.456032919494	0.488910384682	0.484510636327	0.56166761854	0.609144084828	0.474736777454	0.419090501256	0.519546664364	0.534170200086	0.554885405481	0.469665459454	0.453395004463	0.421503632924	0.444374046145	0.48817119354	0.532824485746	0.531293138921	0.571351517271	0.567461651563	0.516187194801	0.557082257098	0.47982681637	0.451613807445	0.231821346681	0.240919030016	0.594296699965	0.582687638152	0.490603487497	0.48255246242	0.373633453156	0.554707490999	0.549380594623	0.453463013017	0.46116291479	0.549579581458	0.557617968522	0.498622056661	0.526188034113	0.530611050802	0.527837640306	0.501452651578	0.417126990817	0.504787895287	0.527413997361	0.523619722271	0.494737965645	0.508176017779	0.502155052152	0.548364960481	0.554196200329	0.56552000884	0.559424116413	0.587216834222	0.590958492822	0.461507304637	0.38575182671	0.490186418437	0.564811729624	0.551038372462	0.601046735307	0.537881690637	0.560597965766	0.419563195102	0.424499568745
D8m6589	0.631520142345	0.588668259297	0.771229340712	0.678891638319	0.709329713555	0.681943506846	0.702238176549	0.596888400787	0.600014342384	0.0	0.391310798415	0.462756135543	0.47576270396	0.616751205687	0.662983100728	0.735817650043	0.716844281562	0.337051800882	0.343946298582	0.351153728673	0.187140489106	0.585931023189	0.60520303582	0.507772739531	0.535012494341	0.630120020438	0.644747115891	0.669305686123	0.645840672065	0.634656805564	0.41329188844	0.534215382899	0.502898584672	0.476184286897	0.558240022041	0.522604819746	0.472744687643	0.456925697683	0.705453803056	0.748559988433	0.637315615627	0.612757326562	0.419670650148	0.529715932908	0.401452200262	0.6931236806	0.44859852275	0.647945396565	0.701004886469	0.400667788202	0.606419344091	0.578340994123	0.304737623518	0.312028752736	0.529495061262	0.64564348631	0.710252934073	0.668579924763	0.636662243735	0.636276977234	0.259589338485	0.287806076821	0.535627702709	0.510994825827	0.658699906657	0.332905138353	0.34825467041	0.587024525893	0.626811800848	0.307816433534	0.300912443445	0.459492962293	0.52400727799	0.535282917609	0.52051231967	0.589326490793	0.517934966821	0.554483331059	0.626803575523	0.655932979341	0.638233767488	0.439927076908	0.450929976759	0.443858294323	0.457612574152	0.33934424792	0.338170512822	0.32186698454	0.367203401794	0.585602999026	0.608795702569	0.462719111453	0.597160001891	0.646231216734	0.681409656207	0.446198401313	0.458844375256	0.712155118685	0.702260325317
