sampleid	status	locus	cultivars	site	climate	knownseverity
D8m6580	disease	WHD1	shengnvguo	WH	Cfa	degree3
D8m6581	disease	WHD2	shengnvguo	WH	Cfa	degree3
D8m6582	disease	WHD3	shengnvguo	WH	Cfa	degree3
D8m6583	disease	YDD4	qidan	YD	Cfa	degree3
D8m6584	disease	YDD5	qidan	YD	Cfa	degree3
D8m6585	disease	RAD6	qianxi	RA	Cfa	degree3
D8m6586	disease	RAD7	qianxi	RA	Cfa	degree3
D8m6587	disease	LSD8	qianxi	LS	Aw	degree3
D8m6588	disease	LSD9	qianxi	LS	Aw	degree3
D8m6589	disease	LFD10	unknown	LF	Dwa	degree1
D8m6590	disease	LFD11	unknown	LF	Dwa	degree1
D8m6591	disease	TYD12	unknown	TY	Cfa	degree3
D8m6592	disease	TYD13	unknown	TY	Cfa	degree3
D8m6593	disease	TYD14	unknown	TY	Cfa	degree3
D8m6594	disease	TYD15	unknown	TY	Cfa	degree3
D8m6595	disease	PTD16	unknown	PT	Cfa	degree3
D8m6596	disease	PTD17	unknown	PT	Cfa	degree3
D8m6597	disease	ZZD18	unknown	ZZ	Cwa	degree3
D8m6598	disease	ZZD19	unknown	ZZ	Cwa	degree3
D8m6599	disease	WFD20	A18	WF	Dwa	degree3
D8m6600	disease	WFD21	A18	WF	Dwa	degree3
D8m6601	disease	PZHD22	aifeite	PZH	Cwb	degree3
D8m6602	disease	PZHD23	baoma	PZH	Cwb	degree3
D8m6603	disease	PZHD24	babaoli	PZH	Cwb	degree3
D8m6604	disease	PZHD25	babaoli	PZH	Cwb	degree3
D8m6605	disease	PZHD26	3689hao	PZH	Cwb	degree3
D8m6606	disease	PZHD27	3689hao	PZH	Cwb	degree3
D8m6607	disease	PZHD28	3689hao	PZH	Cwb	degree3
D8m6608	disease	PZHD29	3689hao	PZH	Cwb	degree3
D8m6609	disease	PZHD30	3689hao	PZH	Cwb	degree3
D8m6610	disease	SHD31	unknown	SH	Cfa	degree2
D8m6611	disease	SHD32	unknown	SH	Cfa	degree2
D8m6612	disease	LND33	oudesai	LN	Dwa	degree1
D8m6613	disease	LND34	oudesai	LN	Dwa	degree1
D8m6614	disease	GZD35	unknown	GZ	Cfa	degree3
D8m6615	disease	GZD36	unknown	GZ	Cfa	degree3
D8m6616	disease	GLD37	unknown	GL	Cfa	degree3
D8m6617	disease	GLD38	unknown	GL	Cfa	degree3
D8m6618	disease	DSD39	unknown	DS	Cfa	degree3
D8m6619	disease	DSD40	unknown	DS	Cfa	degree3
D8m6620	disease	KYD41	unknown	KY	Cfa	degree3
D8m6621	disease	KYD42	unknown	KY	Cfa	degree3
D8m6622	disease	CQD43	yiselie	CQ	Cfa	degree3
D8m6623	disease	CQD44	ok808	CQ	Cfa	degree3
D8m6624	disease	CQD45	ziyu	CQ	Cfa	degree3
D8m6625	disease	SZD46	203hao	SZ	Cfa	degree3
D8m6626	disease	SZD47	dongmei	SZ	Cfa	degree3
D8m6627	disease	LPD48	unknown	LP	Cfa	degree3
D8m6628	disease	LPD49	unknown	LP	Cfa	degree3
D8m6629	disease	CDD50	unknown	CD	Cwa	degree3
D8m6630	disease	CDD51	350hao	CD	Cwa	degree3
D8m6631	disease	CDD52	350hao	CD	Cwa	degree3
D8m6632	disease	WFD53	unknown	WF	Dwa	degree3
D8m6633	disease	WFD54	unknown	WF	Dwa	degree3
D8m6634	health	WHH55	shengnvguo	WH	Cfa	degree3
D8m6635	health	WHH56	shengnvguo	WH	Cfa	degree3
D8m6636	health	RAH57	qianxi	RA	Cfa	degree3
D8m6637	health	RAH58	qianxi	RA	Cfa	degree3
D8m6638	health	LSH59	qianxi	LS	Aw	degree2
D8m6639	health	LSH60	qianxi	LS	Aw	degree2
D8m6640	health	LFH61	unknown	LF	Dwa	degree1
D8m6641	health	LFH62	unknown	LF	Dwa	degree1
D8m6642	health	TYH63	unknown	TY	Cfa	degree3
D8m6643	health	TYH64	unknown	TY	Cfa	degree3
D8m6644	health	TYH65	unknown	TY	Cfa	degree3
D8m6645	health	ZZH66	unknown	ZZ	Cwa	degree3
D8m6646	health	ZZH67	unknown	ZZ	Cwa	degree3
D8m6647	health	XYH68	aijiawang	XY	Cfa	degree3
D8m6648	health	XYH69	aijiawang	XY	Cfa	degree3
D8m6649	health	ZKH70	unknown	ZK	Cfa	degree3
D8m6650	health	ZKH71	unknown	ZK	Cfa	degree3
D8m6651	health	ZHH72	boshou	ZH	Cwa	degree3
D8m6652	health	ZHH73	boshou	ZH	Cwa	degree3
D8m6653	health	PZHH74	babaoli	PZH	Cwb	degree3
D8m6654	health	PZHH75	babaoli	PZH	Cwb	degree3
D8m6655	health	PZHH76	3689hao	PZH	Cwb	degree3
D8m6656	health	PZHH77	unknown	PZH	Cwb	degree3
D8m6657	health	PZHH78	3689hao	PZH	Cwb	degree3
D8m6658	health	PZHH79	3690hao	PZH	Cwb	degree3
D8m6659	health	SHH80	unknown	SH	Cfa	degree2
D8m6660	health	SHH81	unknown	SH	Cfa	degree2
D8m6661	health	LNH82	oudesai	LN	Dwa	degree1
D8m6662	health	LNH83	oudesai	LN	Dwa	degree1
D8m6663	health	DLH84	tianfeijiuhao	DL	Dwa	degree1
D8m6664	health	DLH85	tianfeijiuhao	DL	Dwa	degree1
D8m6665	health	TLFH86	oumeijia	TLF	BWk	degree2
D8m6666	health	TLFH87	oumeijia	TLF	BWk	degree2
D8m6667	health	YCH88	4hao	YC	Dwa	degree1
D8m6668	health	YCH89	4hao	YC	Dwa	degree1
D8m6669	health	CQH90	ok808	CQ	Cfa	degree3
D8m6670	health	CQH91	ziyu	CQ	Cfa	degree3
D8m6671	health	SZH92	dongmei	SZ	Cfa	degree3
D8m6672	health	SZH93	203hao	SZ	Cfa	degree3
D8m6673	health	LPH94	unknown	LP	Cfa	degree3
D8m6674	health	LPH95	unknown	LP	Cfa	degree3
D8m6675	health	YTH96	ouguan	YT	Cwa	degree3
D8m6676	health	YTH97	yanfen207	YT	Cwa	degree3
D8m6677	health	PTH98	unknown	PT	Cfa	degree3
D8m6678	health	PTH99	unknown	PT	Cfa	degree3
